id,name,full_name,owner,description,language,stars,forks,watchers,open_issues,created_at,updated_at,pushed_at,size,license,url,clone_url,topics
22744595,html-webpack-plugin,jantimon/html-webpack-plugin,jantimon,Simplifies creation of HTML files to serve your webpack bundles,JavaScript,10753,1303,10753,38,2014-08-08T03:19:15Z,2025-12-16T11:37:32Z,2025-11-18T11:31:29Z,2164,MIT License,https://github.com/jantimon/html-webpack-plugin,https://github.com/jantimon/html-webpack-plugin.git,"html-webpack-plugin, webpack"
38342221,graphql-spec,graphql/graphql-spec,graphql,GraphQL is a query language and execution engine tied to any backend service.,JavaScript,14734,1151,14734,208,2015-07-01T01:26:56Z,2025-12-17T11:42:42Z,2025-12-04T19:44:34Z,5897,Other,https://github.com/graphql/graphql-spec,https://github.com/graphql/graphql-spec.git,
34302698,serverless,serverless/serverless,serverless,"⚡ Serverless Framework – Effortlessly build apps that auto-scale, incur zero costs when idle, and require minimal maintenance using AWS Lambda and other managed cloud services.",JavaScript,46912,5737,46912,1228,2015-04-21T03:48:40Z,2025-12-18T06:32:17Z,2025-12-17T18:49:18Z,100004,MIT License,https://github.com/serverless/serverless,https://github.com/serverless/serverless.git,"aws, aws-dynamodb, aws-lambda, azure-functions, google-cloud-functions, microservice, serverless, serverless-architectures, serverless-framework"
1790564,handsontable,handsontable/handsontable,handsontable,"JavaScript Data Grid / Data Table with a Spreadsheet Look & Feel. Works with React, Angular, and Vue. Supported by the Handsontable team ⚡",JavaScript,21683,3187,21683,401,2011-05-23T22:38:58Z,2025-12-17T16:04:49Z,2025-12-17T20:23:00Z,838822,Other,https://github.com/handsontable/handsontable,https://github.com/handsontable/handsontable.git,"angular-datagrid, angular-table, component, crud-operations, data-editing, data-grid, data-management, data-tables, datagrid, datatable, excel, excel-javascript, grid, grid-component, react-datatable, react-grid, spreadsheet, table, vue-table"
3374332,bootswatch,thomaspark/bootswatch,thomaspark,Themes for Bootstrap,JavaScript,14764,3664,14764,67,2012-02-07T04:31:56Z,2025-12-18T02:03:01Z,2025-12-06T00:29:59Z,93597,MIT License,https://github.com/thomaspark/bootswatch,https://github.com/thomaspark/bootswatch.git,"bootstrap, bootswatch, css, css-framework, theme"
10187082,pm2,Unitech/pm2,Unitech,Node.js Production Process Manager with a built-in Load Balancer.,JavaScript,42805,2672,42805,1078,2013-05-21T03:25:25Z,2025-12-17T22:45:14Z,2025-11-26T10:24:50Z,13627,Other,https://github.com/Unitech/pm2,https://github.com/Unitech/pm2.git,"command-line, command-line-tool, deploy, load-balancer, monitoring, node, nodejs, pm2, process-manager, production"
364474335,zx,google/zx,google,A tool for writing better scripts,JavaScript,44955,1185,44955,22,2021-05-05T05:50:01Z,2025-12-18T05:58:50Z,2025-12-03T20:47:18Z,4031,Apache License 2.0,https://github.com/google/zx,https://github.com/google/zx.git,"bash, child-process, cli, exec, javascript, nodejs, pipe, shell, spawn"
2163263,hapi,hapijs/hapi,hapijs,"The Simple, Secure Framework Developers Trust",JavaScript,14743,1353,14743,59,2011-08-06T00:35:39Z,2025-12-17T18:31:27Z,2025-11-06T09:40:46Z,17059,Other,https://github.com/hapijs/hapi,https://github.com/hapijs/hapi.git,"application, framework, hapi, http, nodejs"
924551,rabbitmq-server,rabbitmq/rabbitmq-server,rabbitmq,Open source RabbitMQ: core server and tier 1 (built-in) plugins,JavaScript,13344,3985,13344,271,2010-09-20T10:29:16Z,2025-12-18T02:55:47Z,2025-12-18T00:31:30Z,222263,Other,https://github.com/rabbitmq/rabbitmq-server,https://github.com/rabbitmq/rabbitmq-server.git,"amqp, amqp-0-9-1, amqp1-0, message-broker, messaging, mqtt, rabbitmq, stomp, streaming, streams"
961357433,LibreTV,LibreSpark/LibreTV,LibreSpark,一分钟搭建影视站，支持Vercel/Docker等部署方式,JavaScript,12764,26337,12764,96,2025-04-06T10:52:08Z,2025-12-18T04:46:53Z,2025-08-12T12:56:19Z,1975,Apache License 2.0,https://github.com/LibreSpark/LibreTV,https://github.com/LibreSpark/LibreTV.git,"css, html, movie-web-app, movies-and-cinemas, tv"
991475,node-postgres,brianc/node-postgres,brianc,PostgreSQL client for node.js.,JavaScript,13006,1301,13006,510,2010-10-15T23:05:50Z,2025-12-17T23:03:53Z,2025-12-11T17:07:16Z,4788,MIT License,https://github.com/brianc/node-postgres,https://github.com/brianc/node-postgres.git,"libpq, node-postgres, postgres, postgresql, postgresql-driver"
397401267,audiobookshelf,advplyr/audiobookshelf,advplyr,Self-hosted audiobook and podcast server,JavaScript,11037,801,11037,887,2021-08-17T22:00:40Z,2025-12-18T06:19:53Z,2025-12-14T22:35:16Z,42695,GNU General Public License v3.0,https://github.com/advplyr/audiobookshelf,https://github.com/advplyr/audiobookshelf.git,"audiobook-manager, audiobooks, audiobookshelf, podcasts, self-hosted"
140687430,uni-app,dcloudio/uni-app,dcloudio,A cross-platform framework using Vue.js,JavaScript,41314,3715,41314,699,2018-07-12T08:52:39Z,2025-12-18T04:06:43Z,2025-12-18T04:04:46Z,7244692,Apache License 2.0,https://github.com/dcloudio/uni-app,https://github.com/dcloudio/uni-app.git,"android, cross-platform, crossplatform, hbuilderx, ios, javascript, miniprogram, uni, uni-app, uniapp, vue, vue3"
80862584,gutenberg,WordPress/gutenberg,WordPress,The Block Editor project for WordPress and beyond. Plugin is available from the official repository.,JavaScript,11481,4635,11481,7449,2017-02-03T19:34:19Z,2025-12-18T03:50:11Z,2025-12-18T05:36:31Z,912359,Other,https://github.com/WordPress/gutenberg,https://github.com/WordPress/gutenberg.git,"gutenberg, wordpress, wordpress-plugin"
