id,name,full_name,owner,description,language,stars,forks,watchers,open_issues,created_at,updated_at,pushed_at,size,license,url,clone_url,topics
10270250,react,facebook/react,facebook,The library for web and native user interfaces.,JavaScript,241700,50186,241700,1089,2013-05-24T16:15:54Z,2025-12-18T05:56:34Z,2025-12-17T18:23:28Z,879053,MIT License,https://github.com/facebook/react,https://github.com/facebook/react.git,"declarative, frontend, javascript, library, react, ui"
126577260,javascript-algorithms,trekhleb/javascript-algorithms,trekhleb,📝 Algorithms and data structures implemented in JavaScript with explanations and links to further readings,JavaScript,195136,31085,195136,382,2018-03-24T07:47:04Z,2025-12-18T06:19:16Z,2025-11-23T04:20:03Z,14901,MIT License,https://github.com/trekhleb/javascript-algorithms,https://github.com/trekhleb/javascript-algorithms.git,"algorithm, algorithms, computer-science, data-structures, interview, interview-preparation, javascript, javascript-algorithms"
6498492,javascript,airbnb/javascript,airbnb,JavaScript Style Guide,JavaScript,147997,26787,147997,181,2012-11-01T23:13:50Z,2025-12-18T04:33:11Z,2025-11-06T00:54:14Z,3724,MIT License,https://github.com/airbnb/javascript,https://github.com/airbnb/javascript.git,"arrow-functions, es2015, es2016, es2017, es2018, es6, eslint, javascript, linting, naming-conventions, style-guide, style-linter, styleguide, tc39"
70107786,next.js,vercel/next.js,vercel,The React Framework,JavaScript,136626,30070,136626,3155,2016-10-05T23:32:51Z,2025-12-18T05:16:20Z,2025-12-18T04:24:48Z,2433671,MIT License,https://github.com/vercel/next.js,https://github.com/vercel/next.js.git,"blog, browser, compiler, components, hybrid, nextjs, node, react, server-rendering, ssg, static, static-site-generator, universal, vercel"
112507086,30-seconds-of-code,Chalarangelo/30-seconds-of-code,Chalarangelo,Coding articles to level up your development skills,JavaScript,126058,12391,126058,0,2017-11-29T17:35:03Z,2025-12-18T02:20:53Z,2025-12-09T07:29:39Z,742593,Creative Commons Attribution 4.0 International,https://github.com/Chalarangelo/30-seconds-of-code,https://github.com/Chalarangelo/30-seconds-of-code.git,"astro, awesome-list, css, education, es6-javascript, git, html, javascript, learn-to-code, learning-resources, nodejs, programming, snippets"
27193779,node,nodejs/node,nodejs,Node.js JavaScript runtime ✨🐢🚀✨,JavaScript,114806,34112,114806,2434,2014-11-26T19:57:11Z,2025-12-18T06:26:54Z,2025-12-17T13:22:24Z,1379895,Other,https://github.com/nodejs/node,https://github.com/nodejs/node.git,"javascript, js, linux, macos, mit, node, nodejs, runtime, windows"
63537249,create-react-app,facebook/create-react-app,facebook,Set up a modern web app by running one command.,JavaScript,103928,27178,103928,2357,2016-07-17T14:55:11Z,2025-12-18T04:05:19Z,2025-02-15T01:32:11Z,25186,MIT License,https://github.com/facebook/create-react-app,https://github.com/facebook/create-react-app.git,"build-tools, react, zero-configuration"
23083156,material-ui,mui/material-ui,mui,Material UI: Comprehensive React component library that implements Google's Material Design. Free forever.,JavaScript,97478,32796,97478,1749,2014-08-18T19:11:54Z,2025-12-18T05:22:37Z,2025-12-18T03:11:01Z,701697,MIT License,https://github.com/mui/material-ui,https://github.com/mui/material-ui.git,"design-system, material-design, material-ui, react, react-components"
63539055,awesome-mac,jaywcjlove/awesome-mac,jaywcjlove," Now we have become very big, Different from the original idea. Collect premium software in various categories.",JavaScript,96009,7206,96009,165,2016-07-17T15:33:47Z,2025-12-18T06:30:05Z,2025-12-17T10:13:23Z,25243,Creative Commons Zero v1.0 Universal,https://github.com/jaywcjlove/awesome-mac,https://github.com/jaywcjlove/awesome-mac.git,"app, apple, application, apps, awesome, awesome-list, awesome-lists, awesome-mac, desktop-app, desktop-application, desktop-apps, list, mac, mac-osx, macos, macos-app, macos-apps, macosx, software"
311525798,Web-Dev-For-Beginners,microsoft/Web-Dev-For-Beginners,microsoft,"24 Lessons, 12 Weeks, Get Started as a Web Developer",JavaScript,94677,14889,94677,60,2020-11-10T02:44:00Z,2025-12-18T05:30:15Z,2025-12-12T01:54:57Z,1690941,MIT License,https://github.com/microsoft/Web-Dev-For-Beginners,https://github.com/microsoft/Web-Dev-For-Beginners.git,"css, curriculum, education, html, javascript, learning, microsoft-for-beginners, tutorials"
382496361,uptime-kuma,louislam/uptime-kuma,louislam,A fancy self-hosted monitoring tool,JavaScript,79919,7122,79919,774,2021-07-03T01:02:42Z,2025-12-18T05:38:35Z,2025-12-18T02:53:48Z,31618,MIT License,https://github.com/louislam/uptime-kuma,https://github.com/louislam/uptime-kuma.git,"docker, monitor, monitoring, responsive, self-hosted, selfhosted, single-page-app, socket-io, uptime, uptime-monitoring, webapp, websocket"
3470471,Font-Awesome,FortAwesome/Font-Awesome,FortAwesome,"The iconic SVG, font, and CSS toolkit",JavaScript,76084,12228,76084,334,2012-02-17T14:19:43Z,2025-12-18T05:36:04Z,2025-12-12T16:04:31Z,138845,Other,https://github.com/FortAwesome/Font-Awesome,https://github.com/FortAwesome/Font-Awesome.git,"css, font, fontawesome, icons, svg-icons, svg-sprites, webfont"
14747598,json-server,typicode/json-server,typicode,Get a full fake REST API with zero coding in less than 30 seconds (seriously),JavaScript,75466,7265,75466,723,2013-11-27T13:21:13Z,2025-12-18T06:34:04Z,2025-11-21T14:13:39Z,4535,Other,https://github.com/typicode/json-server,https://github.com/typicode/json-server.git,
1861458,reveal.js,hakimel/reveal.js,hakimel,The HTML Presentation Framework,JavaScript,70228,16808,70228,881,2011-06-07T18:54:22Z,2025-12-18T05:53:41Z,2025-10-14T09:58:39Z,28658,MIT License,https://github.com/hakimel/reveal.js,https://github.com/hakimel/reveal.js.git,"presentations, slides, slideshow"
8843683,Chart.js,chartjs/Chart.js,chartjs,Simple HTML5 Charts using the <canvas> tag,JavaScript,66900,11990,66900,506,2013-03-17T23:56:36Z,2025-12-18T06:07:19Z,2025-12-08T02:02:07Z,43713,MIT License,https://github.com/chartjs/Chart.js,https://github.com/chartjs/Chart.js.git,"canvas, chart, graph, html5, html5-charts, javascript"
147350463,33-js-concepts,leonardomso/33-js-concepts,leonardomso,📜 33 JavaScript concepts every developer should know.,JavaScript,65988,9195,65988,136,2018-09-04T13:27:04Z,2025-12-18T06:19:21Z,2025-09-17T15:24:43Z,1302,MIT License,https://github.com/leonardomso/33-js-concepts,https://github.com/leonardomso/33-js-concepts.git,"angular, concepts, es6, es6-javascript, hacktoberfest, javascript, javascript-closures, javascript-engines, javascript-programming, nodejs, primitive-types, programming, react"
3678731,webpack,webpack/webpack,webpack,"A bundler for javascript and friends. Packs many modules into a few bundled assets. Code Splitting allows for loading parts of the application on demand. Through ""loaders"", modules can be CommonJs, AMD, ES6 modules, CSS, Images, JSON, Coffeescript, LESS, ... and your custom stuff.",JavaScript,65830,9190,65830,207,2012-03-10T10:08:14Z,2025-12-18T03:26:18Z,2025-12-18T03:03:27Z,75943,MIT License,https://github.com/webpack/webpack,https://github.com/webpack/webpack.git,"amd, build-tool, commonjs, compiler, es2015, es6, esm, javascript, javascript-compiler, javascript-modules, loaders, module-bundler, plugins, web, web-performance, webpack"
53809090,anime,juliangarnier/anime,juliangarnier,JavaScript animation engine,JavaScript,65576,4402,65576,88,2016-03-13T21:37:45Z,2025-12-18T03:19:19Z,2025-12-03T17:26:30Z,72850,MIT License,https://github.com/juliangarnier/anime,https://github.com/juliangarnier/anime.git,"animation, anime, canvas, css, javascript, javascript-library, svg"
3955647,lodash,lodash/lodash,lodash,"A modern JavaScript utility library delivering modularity, performance, & extras.",JavaScript,61488,7112,61488,103,2012-04-07T04:11:46Z,2025-12-17T19:09:24Z,2025-12-17T22:59:55Z,49743,Other,https://github.com/lodash/lodash,https://github.com/lodash/lodash.git,"javascript, lodash, modules, utilities"
33263118,uBlock,gorhill/uBlock,gorhill,uBlock Origin - An efficient blocker for Chromium and Firefox. Fast and lean.,JavaScript,60410,3862,60410,18,2015-04-01T17:51:11Z,2025-12-18T06:14:12Z,2025-12-17T19:33:43Z,160715,GNU General Public License v3.0,https://github.com/gorhill/uBlock,https://github.com/gorhill/uBlock.git,"blocker, browser-extension, chromium, firefox, javascript, ublock, ublock-origin"
4311796,markdown-here,adam-p/markdown-here,adam-p,"Google Chrome, Firefox, and Thunderbird extension that lets you write email in Markdown and render it before sending.",JavaScript,60112,11169,60112,317,2012-05-13T03:27:22Z,2025-12-17T19:47:59Z,2025-08-22T00:21:50Z,17985,MIT License,https://github.com/adam-p/markdown-here,https://github.com/adam-p/markdown-here.git,
167174,jquery,jquery/jquery,jquery,jQuery JavaScript Library,JavaScript,59659,20518,59659,93,2009-04-03T15:20:14Z,2025-12-18T06:00:07Z,2025-12-02T22:21:36Z,35079,MIT License,https://github.com/jquery/jquery,https://github.com/jquery/jquery.git,jquery
92443980,drawio-desktop,jgraph/drawio-desktop,jgraph,Official electron build of draw.io,JavaScript,58512,5530,58512,84,2017-05-25T20:58:42Z,2025-12-18T05:35:43Z,2025-11-17T16:43:18Z,2955,Apache License 2.0,https://github.com/jgraph/drawio-desktop,https://github.com/jgraph/drawio-desktop.git,"diagram-editor, electron-app, graphics, javascript-applications"
36040894,gatsby,gatsbyjs/gatsby,gatsbyjs,"The best React-based framework with performance, scalability and security built in.",JavaScript,55957,10258,55957,352,2015-05-21T22:43:05Z,2025-12-18T05:00:51Z,2025-12-15T20:44:11Z,1141279,MIT License,https://github.com/gatsbyjs/gatsby,https://github.com/gatsbyjs/gatsby.git,"blog, compiler, gatsby, graphql, react, static-site-generator, web-app"
127407957,leetcode,azl397985856/leetcode,azl397985856,LeetCode Solutions: A Record of My Problem Solving Journey.( leetcode题解，记录自己的leetcode解题之路。),JavaScript,55736,9467,55736,10,2018-03-30T09:13:51Z,2025-12-18T00:01:07Z,2025-07-16T09:42:17Z,126606,Other,https://github.com/azl397985856/leetcode,https://github.com/azl397985856/leetcode.git,"algo, algorithm, algorithms, algorithms-datastructures, computer-science, cpp, data-structures, interview, java, javascript, leetcode, leetcode-solutions, python, tree"
110446844,marktext,marktext/marktext,marktext,"📝A simple and elegant markdown editor, available for Linux, macOS and Windows.",JavaScript,52815,3890,52815,1362,2017-11-12T16:05:25Z,2025-12-18T04:43:55Z,2025-11-19T09:20:03Z,72533,MIT License,https://github.com/marktext/marktext,https://github.com/marktext/marktext.git,"dark-mode, editor, electron, element-ui, emoji, focus-mode, latex, linux, mac, macos, markdown, marktext, next-generation, source-code, typewriter-mode, vue, windows"
1663468,pdf.js,mozilla/pdf.js,mozilla,PDF Reader in JavaScript,JavaScript,52472,10528,52472,500,2011-04-26T06:32:03Z,2025-12-18T01:23:45Z,2025-12-15T17:45:50Z,172123,Apache License 2.0,https://github.com/mozilla/pdf.js,https://github.com/mozilla/pdf.js.git,
649170660,anything-llm,Mintplex-Labs/anything-llm,Mintplex-Labs,"The all-in-one Desktop & Docker AI application with built-in RAG, AI agents, No-code agent builder, MCP compatibility,  and more.",JavaScript,52284,5601,52284,269,2023-06-04T02:29:14Z,2025-12-18T06:15:36Z,2025-12-17T17:53:08Z,52982,MIT License,https://github.com/Mintplex-Labs/anything-llm,https://github.com/Mintplex-Labs/anything-llm.git,"ai-agents, custom-ai-agents, deepseek, kimi, llama3, llm, lmstudio, local-llm, localai, mcp, mcp-servers, moonshot, multimodal, no-code, ollama, qwen3, rag, vector-database, web-scraping"
9852918,Ghost,TryGhost/Ghost,TryGhost,"Independent technology for modern publishing, memberships, subscriptions and newsletters.",JavaScript,51403,11235,51403,261,2013-05-04T11:09:13Z,2025-12-18T04:31:57Z,2025-12-17T23:35:51Z,407125,MIT License,https://github.com/TryGhost/Ghost,https://github.com/TryGhost/Ghost.git,"blogging, cms, ghost, javascript, journalism, nodejs, publishing, web-application"
75104123,prettier,prettier/prettier,prettier,Prettier is an opinionated code formatter.,JavaScript,51298,4625,51298,1469,2016-11-29T17:13:37Z,2025-12-17T18:55:07Z,2025-12-16T21:05:01Z,163148,MIT License,https://github.com/prettier/prettier,https://github.com/prettier/prettier.git,"angular, ast, css, flow, formatter, graphql, html, javascript, json, jsx, less, markdown, prettier, printer, scss, typescript, vue, yaml"
